ID,Name,Author,Rating,Format,Publisher,Pages,Publishing Date,ISBN-10,ISBN-13
1501146181,"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,4.8 out of 5 stars,Hardcover,Touchstone; Reprint edition,368 pages,"March 6, 2018",1501146181,978-1501146183
162692662X,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,4.8 out of 5 stars,Kindle,Seven Seas,280 pages,"October 10, 2017",162692662X,978-1626926622
1503334945,Basic Fantasy Role-Playing Game 3rd Edition,Chris Gonnerman,4.8 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform; 3 edition,170 pages,"November 21, 2014",1503334945,978-1503334946
1463589980,Thinblade: Sovereign of the Seven Isles: Book One,David A. Wells,4.3 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform,326 pages,"June 10, 2011",1463589980,978-1463589981
1619636093,Empire of Storms (Throne of Glass),Sarah J. Maas,4.7 out of 5 stars,Paperback,Bloomsbury USA Childrens; Reprint edition,720 pages,"September 5, 2017",1619636093,978-1619636095
1626927995,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,4.1 out of 5 stars,Kindle,Seven Seas,280 pages,"May 15, 2018",1626927995,978-1626927995
0147514940,Fantasy League,Mike Lupica,4.6 out of 5 stars,Hardcover,Puffin Books; Reprint edition,320 pages,"July 14, 2015",0147514940,978-0147514943
0744001404,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,4.4 out of 5 stars,Kindle,BRADY GAMES,272 pages,2002,0744001404,978-0744001402
0764145355,How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,Rob Alexander,4.2 out of 5 stars,Paperback,Barron's Educational Series; 10.2.2010 edition,128 pages,"November 1, 2010",0764145355,978-0764145353
1937110575,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,4.5 out of 5 stars,Paperback,Emerald Book Company,360 pages,"January 7, 2014",1937110575,978-1937110574
1440340242,How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,Jared Blando,4.6 out of 5 stars,Hardcover,IMPACT Books,128 pages,"September 1, 2015",1440340242,978-1440340246
064804243X,Fantasy of Flight (The Tainted Accords) (Volume 2),Kelly St. Clare,4.7 out of 5 stars,Kindle,Kelly St. Clare; 3 edition,274 pages,"March 14, 2017",064804243X,978-0648042433
0226644898,A Child's Work: The Importance of Fantasy Play,Vivian Gussin Paley,4.6 out of 5 stars,Paperback,University of Chicago Press,111 pages,"May 27, 2005",0226644898,978-0226644899
1508508402,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,4.6 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform,196 pages,"February 16, 2015",1508508402,978-1508508403
1599631407,Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,3.9 out of 5 stars,Paperback,Writer's Digest Books; 2 edition,406 pages,"September 30, 2013",1599631407,978-1599631400
1407181289,Fighting Fantasy: Forest of Doom,Ian Livingstone,4.8 out of 5 stars,Kindle,Scholastic,232 pages,"September 7, 2017",1407181289,978-1407181288
1940535182,Final Fantasy V (Boss Fight Books),Chris Kohler,4.9 out of 5 stars,Paperback,Boss Fight Books,176 pages,"October 24, 2017",1940535182,978-1940535180
0140435905,The Golden Ass (Penguin Classics),Apuleius,4.3 out of 5 stars,Hardcover,Penguin Classics; New Ed edition,304 pages,"January 1, 1999",0140435905,978-0140435900
0993767605,Arcane (The Arinthian Line) (Volume 1),Sever Bronny,4.5 out of 5 stars,Hardcover,Sever Bronny Ltd.,366 pages,"November 26, 2014",0993767605,978-0993767609
0648042413,Fantasy of Frost (The Tainted Accords) (Volume 1),Kelly St. Clare,4.5 out of 5 stars,Hardcover,Kelly St. Clare; 3 edition,264 pages,"March 14, 2017",0648042413,978-0648042419
039916555X,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,4.4 out of 5 stars,Hardcover,TarcherPerigee,384 pages,"February 20, 2014",039916555X,978-0399165559
0470125071,Fantasy Football For Dummies,Martin Signore,4.5 out of 5 stars,Hardcover,For Dummies; 1 edition,288 pages,"July 2, 2007",0470125071,978-0470125076
1976884411,The Ballad of Titha Mae: A Fantasy in Twelve Parts,Jon B. Dalvy,4.9 out of 5 stars,Paperback,Independently published,343 pages,"January 15, 2018",1976884411,978-1976884412
099381431X,The Rage of Dragons,Evan Winter,4.7 out of 5 stars,Kindle,Beautiful Beast,438 pages,"September 7, 2017",099381431X,978-0993814310
0744002850,"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,4.3 out of 5 stars,Kindle,BRADY GAMES; 1 edition,352 pages,"November 13, 2003",0744002850,978-0744002850
1499622929,"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",Aim\u00e9lie Aames,3.3 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; 2 edition,278 pages,"May 20, 2014",1499622929,978-1499622928
0544973984,The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,3.2 out of 5 stars,Paperback,Mariner Books,384 pages,"October 3, 2017",0544973984,978-0544973985
0994355467,Gothic - Dark Fantasy Coloring Book (Fantasy Art Coloring by Selina) (Volume 6),Selina Fenech,4.7 out of 5 stars,Hardcover,Fairies and Fantasy Pty Ltd; Clr Csm edition,108 pages,"March 23, 2016",0994355467,978-0994355461
1594632715,"Fantasy Life: The Outrageous, Uplifting, and Heartbreaking World of Fantasy Sports from the Guy Who's Lived It",Matthew Berry,4.6 out of 5 stars,Paperback,Riverhead Books; Reprint edition,384 pages,"July 1, 2014",1594632715,978-1594632716
0544449770,The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),John Joseph Adams,4.0 out of 5 stars,Paperback,Mariner Books; 2015 ed. edition,368 pages,"October 6, 2015",0544449770,978-0544449770
1533393095,Color Your Fantasy II Coloring Book,Amy Brown,4.7 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform,40 pages,"July 27, 2015",1533393095,978-1533393098
0312302428,Arousal: The Secret Logic of Sexual Fantasies,Michael J. Bader,4.1 out of 5 stars,Kindle,St. Martin's Griffin; Reprint edition,304 pages,"January 18, 2003",0312302428,978-0312302429
0957664931,Sci-Fi & Fantasy Oil Painting Techniques,Patrick J. Jones,4.6 out of 5 stars,Paperback,Korero Press,192 pages,August 2014,0957664931,978-0957664937
1912415283,Reign: A Space Fantasy Romance (Strands of Starfire) (Volume 1),May Sage,4.8 out of 5 stars,Paperback,Madam's Books; 1 edition,376 pages,"March 1, 2018",1912415283,978-1912415281
1547288418,Color My Art: Surreal Fantasy: Grayscale & Underpainting Coloring Book,Ikuko,4.3 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; Clr Csm edition,104 pages,"July 19, 2017",1547288418,978-1547288410
1539605248,Colouring Fantasy 2 - Colouring Book by Scot Howden (Volume 2),Scot Howden,4.6 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; 1 edition,54 pages,"October 20, 2016",1539605248,978-1539605249
0387949313,Fantasia Mathematica,Clifton Fadiman,4.8 out of 5 stars,Kindle,"Copernicus; 1st ed. 1958, 2nd printing 1997 edition",298 pages,"April 1, 1997",0387949313,978-0387949314
1545423636,Make A Witch (A Wicked Witches of the Midwest Fantasy) (Volume 3),Amanda M. Lee,4.6 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,194 pages,"June 5, 2017",1545423636,978-1545423639
0764213466,The Shock of Night (The Darkwater Saga),Patrick W. Carr,4.4 out of 5 stars,Hardcover,Bethany House Publishers,464 pages,"November 3, 2015",0764213466,978-0764213465
1979903581,Medieval Madness: a fantasy adventure book for kids and teens aged 9-15 (Volume 1),Paul Johnson-Jovanovic,5.0 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform,142 pages,"November 19, 2017",1979903581,978-1979903585
0988759470,Storyworld First: Creating a Unique Fantasy World for Your Novel,Jill Williamson,4.3 out of 5 stars,Paperback,Novel Teen Press,176 pages,"August 13, 2014",0988759470,978-0988759473
0544555201,The Best American Science Fiction and Fantasy 2016 (The Best American Series ®),John Joseph Adams,3.4 out of 5 stars,Kindle,Mariner Books; 2016 ed. edition,320 pages,"October 4, 2016",0544555201,978-0544555204
1503347257,The Basic Fantasy Field Guide,Chris Gonnerman,4.7 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; 1 edition,86 pages,"November 21, 2014",1503347257,978-1503347250
0062380761,The Girl from Everywhere,Heidi Heilig,4.3 out of 5 stars,Hardcover,Greenwillow Books; Reprint edition,480 pages,"February 7, 2017",0062380761,978-0062380760
0634038354,"Billy Joel - Fantasies & Delusions: Music for Solo Piano, Op. 1-10",Billy Joel,4.4 out of 5 stars,Hardcover,Hal Leonard,96 pages,"October 1, 2001",0634038354,978-0634038358
1566869250,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,4.5 out of 5 stars,Kindle,Brady Games; 1st Edition edition,288 pages,"November 4, 1999",1566869250,978-1566869256
0998737321,Benny Ricciardi's Definitive Guide to Fantasy Baseball,Benjamin Ricciardi,4.3 out of 5 stars,Paperback,Benny Ricciardi,251 pages,"March 1, 2017",0998737321,978-0998737324
1944845097,Fairy Fantasy: Enchanting Fairy Adult Coloring Book,Jason Hamilton,4.7 out of 5 stars,Kindle,JasonHamilton.ink; 2 edition,82 pages,"May 21, 2017",1944845097,978-1944845094
1503949761,Winter Wolf (A New Dawn Novel),Rachel M. Raithby,4.2 out of 5 stars,Paperback,Skyscape,348 pages,"October 27, 2015",1503949761,978-1503949768
1477486607,The lost art of how to draw fantasy females,Frank Granados,3.2 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform,82 pages,"September 9, 2012",1477486607,978-1477486603
1600581412,"Fairies & Fantasy: Learn to paint the enchanted world of fairies, angels, and mermaids (Watercolor Made Easy)",Meredith Dillman,4.5 out of 5 stars,Kindle,Walter Foster Publishing,64 pages,"April 15, 2009",1600581412,978-1600581410
1537093347,500 Science Fiction and Fantasy Writing Prompts,Julie Wenzel,5.0 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,122 pages,"October 24, 2016",1537093347,978-1537093345
1623565421,Kanye West's My Beautiful Dark Twisted Fantasy (33 1/3),Kirk Walker Graves,3.4 out of 5 stars,Hardcover,Bloomsbury Academic,152 pages,"June 19, 2014",1623565421,978-1623565428
1983486396,Witch's Reign (Desert Cursed Series Book 1) (The Desert Cursed Series) (Volume 1),Shannon Mayer,4.8 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform; 1 edition,368 pages,"February 6, 2018",1983486396,978-1983486395
0822345056,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,4.0 out of 5 stars,Hardcover,Duke University Press,232 pages,"September 2, 2009",0822345056,978-0822345053
1974505731,"Fantasy Coloring Adventure: A Magical World of Fantasy Creatures, Enchanted Animals, and Whimsical Scenes",Jade Summer,4.6 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,86 pages,"August 12, 2017",1974505731,978-1974505739
1939203287,The Change (Unbounded) (Volume 1),Teyla Branton,4.5 out of 5 stars,Kindle,White Star Press; 1 edition,356 pages,"January 10, 2013",1939203287,978-1939203281
0994355432,Enchanted - Magical Forests Coloring Collection (Fantasy Art Coloring by Selina) (Volume 3),Selina Fenech,4.6 out of 5 stars,Hardcover,Fairies and Fantasy Pty Ltd; Csm edition,108 pages,"September 16, 2015",0994355432,978-0994355430
1616962577,The New Voices of Fantasy,JY Yang,4.5 out of 5 stars,Paperback,Tachyon Publications,336 pages,"August 22, 2017",1616962577,978-1616962579
1542625343,The Destroyer (Volume 1),Michael-Scott Earle,4.3 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; 2 edition,580 pages,"February 20, 2016",1542625343,978-1542625340
0807068756,Owls and Other Fantasies: Poems and Essays,Mary Oliver,4.9 out of 5 stars,Hardcover,Beacon Press; 1St Edition edition,88 pages,"April 1, 2006",0807068756,978-0807068755
1981766197,Fantasy Map Making: A step-by-step guide for worldbuilders (Writer Resources) (Volume 2),Jesper Schmidt,3.7 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; 2 edition,164 pages,"January 15, 2018",1981766197,978-1981766192
0520284488,Fantasy Islands: Chinese Dreams and Ecological Fears in an Age of Climate Crisis,Julie Sze,4.0 out of 5 stars,Kindle,University of California Press,248 pages,"January 5, 2015",0520284488,978-0520284487
0988536811,Marking Time: The Immortal Descendants: Book 1,April White,4.7 out of 5 stars,Paperback,Corazon Entertainment,436 pages,"November 5, 2012",0988536811,978-0988536814
0312206860,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,4.3 out of 5 stars,Hardcover,St. Martin's Griffin; 1st edition,624 pages,"July 30, 1999",0312206860,978-0312206864
1503953300,The Queen's Poisoner (The Kingfountain Series),Jeff Wheeler,4.5 out of 5 stars,Hardcover,47North,334 pages,"April 1, 2016",1503953300,978-1503953307
1503943658,The Hundredth Queen (The Hundredth Queen Series),Emily R. King,4.3 out of 5 stars,Paperback,Skyscape,300 pages,"June 1, 2017",1503943658,978-1503943650
0995566216,DOTTY and the Calendar House Key: (A magical fantasy adventure for 8-12 year olds) (The DOTTY Series) (Volume 1),Emma Warner-Reed,4.8 out of 5 stars,Paperback,Calendar House Press; 2 edition,234 pages,"November 17, 2016",0995566216,978-0995566217
0764135740,The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,4.4 out of 5 stars,Kindle,Barron's Educational Series,128 pages,"February 1, 2007",0764135740,978-0764135743
164048096X,Writing Fantasy: The Top 100 Best Strategies For Writing Fantasy Stories,Blaine Hart,4.6 out of 5 stars,Paperback,Lord Hart Productions,80 pages,"March 23, 2017",164048096X,978-1640480964
0648042456,Fantasy of Fire (The Tainted Accords) (Volume 3),Kelly St. Clare,4.9 out of 5 stars,Hardcover,Kelly St. Clare; 3 edition,294 pages,"January 14, 2016",0648042456,978-0648042457
1600613373,Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,4.4 out of 5 stars,Kindle,IMPACT Books; 2/24/10 edition,144 pages,"March 10, 2010",1600613373,978-1600613371
1477823522,Enchantress (The Evermen Saga),James Maxwell,4.3 out of 5 stars,Paperback,47North,624 pages,"July 29, 2014",1477823522,978-1477823521
0394730909,Russian Fairy Tales (The Pantheon Fairy Tale and Folklore Library),Aleksandr Afanasev,4.2 out of 5 stars,Hardcover,Pantheon Books; Reissue edition,672 pages,1973,0394730909,978-0394730905
1530712122,The Flame and the Arrow (The Annika Brisby Series) (Volume 1),Emigh Cannaday,4.4 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform; 6 edition,438 pages,"November 22, 2010",1530712122,978-1530712120
0375871063,The Paladin Prophecy: Book 1,Mark Frost,4.5 out of 5 stars,Hardcover,Ember; Reprint edition,528 pages,"January 7, 2014",0375871063,978-0375871061
1942085036,Undercover Magic (Dragon's Gift: The Valkyrie) (Volume 1),Linsey Hall,4.5 out of 5 stars,Hardcover,Bonnie Doon Press LLC,216 pages,"November 16, 2017",1942085036,978-1942085034
1560257210,Flesh for Fantasy: Producing and Consuming Exotic Dance,Merri Lisa Johnson,4.4 out of 5 stars,Paperback,Seal Press,272 pages,"December 21, 2005",1560257210,978-1560257219
154645960X,Harbinger of Doom (Volumes 1 - 3): Three Book Bundle,Glenn G Thater,4.0 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,650 pages,"May 19, 2017",154645960X,978-1546459606
1558493328,"Vietnam and Other American Fantasies (Culture, Politics, and the Cold War)",H. Bruce Franklin,3.6 out of 5 stars,Hardcover,University of Massachusetts Press; New edition edition,272 pages,"October 25, 2001",1558493328,978-1558493322
1542620910,Fairyland - A Coloring Book For Adults: Fantasy Coloring for Grownups by Molly Harrison,Molly Harrison,4.8 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; Clr Csm edition,54 pages,"January 18, 2017",1542620910,978-1542620918
1419690701,Private Thoughts: Exploring the Power of Women's Sexual Fantasies,Wendy Maltz,4.3 out of 5 stars,Kindle,BookSurge Publishing; Reissue edition,304 pages,"May 2, 2008",1419690701,978-1419690709
1973832496,Adult Coloring Book: Dragon Life: Dragons and Dragon Masters in Fantasy Realms  35+ Original Illustrations,Nathaniel Wake,4.9 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,96 pages,"August 24, 2017",1973832496,978-1973832492
1484971515,Fantasy Football for Smart People: What the Experts Don't Want You to Know,Jonathan Bales,3.9 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,226 pages,"May 14, 2013",1484971515,978-1484971512
099105721X,Today Is Too Late (The Shedim Rebellion) (Volume 1),Burke Fitzpatrick,4.8 out of 5 stars,Kindle,Blade Books LLC; 1 edition,356 pages,"October 10, 2013",099105721X,978-0991057214
1440310831,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,4.9 out of 5 stars,Kindle,IMPACT Books,176 pages,"July 20, 2012",1440310831,978-1440310836
1937027473,Fantasy,Ben Fama,4.5 out of 5 stars,Kindle,Ugly Duckling Presse,88 pages,"April 1, 2015",1937027473,978-1937027476
0744002532,Final Fantasy Origins: Official Strategy Guide,Casey Loe,4.6 out of 5 stars,Hardcover,BradyGames; 1 edition,256 pages,"April 19, 2003",0744002532,978-0744002539
1948108038,Dragon's Blood: a Reverse Harem Fantasy Romance (The Dragon's Gift Trilogy) (Volume 2),May Sage,4.6 out of 5 stars,Paperback,Dynamo Press; 1 edition,286 pages,"November 11, 2017",1948108038,978-1948108034
0982428634,"Fantasy Football Basics: The Ultimate ""How-to"" Guide for Beginners",Sam Hendricks,4.6 out of 5 stars,Kindle,Extra Point Press,160 pages,"May 26, 2010",0982428634,978-0982428634
197918609X,Borrowed Magic: An Urban Fantasy Novel (Witch's Bite Series) (Volume 1),Stephanie Foxe,4.0 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform,132 pages,"October 1, 2017",197918609X,978-1979186094
0744000734,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,4.5 out of 5 stars,Hardcover,Brady Games,160 pages,"July 2, 2001",0744000734,978-0744000733
0465037674,Who's Been Sleeping in Your Head: The Secret World of Sexual Fantasies,Brett Kahr,3.8 out of 5 stars,Paperback,Basic Books,512 pages,"January 27, 2009",0465037674,978-0465037674
1500668745,Adventure Anthology 1,Chris Gonnerman,4.9 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform; 1 edition,86 pages,"July 27, 2014",1500668745,978-1500668747
1519101260,"Mermaids, Fairies & Fantasy: Grayscale Coloring Book for Grownups, Adults (Wingfeather Coloring Books) (Volume 4)",Wingfeather Coloring Books,3.1 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; Clr Csm edition,86 pages,"November 4, 2015",1519101260,978-1519101266
154518769X,Fantasy World. Grayscale coloring book: Adult coloring book,Alena Lazareva,4.6 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; Clr Csm edition,68 pages,"April 8, 2017",154518769X,978-1545187692
1414301561,The Sword of the Wormling,Chris Fabry,4.9 out of 5 stars,Paperback,"Tyndale House Publishers, Inc.",336 pages,"October 1, 2007",1414301561,978-1414301563
0994585284,Faedorables - Sweet and Simple Coloring Book (Fantasy Coloring by Selina) (Volume 14),Selina Fenech,4.7 out of 5 stars,Hardcover,Fairies and Fantasy Pty Ltd,108 pages,"November 18, 2016",0994585284,978-0994585288
0312198698,The Encyclopedia of Fantasy,John Grant,4.1 out of 5 stars,Kindle,St. Martin's Griffin; Revised edition,1088 pages,"March 15, 1999",0312198698,978-0312198695
0764132601,Drawing and Painting Fantasy Landscapes and Cityscapes,Martin McKenna,4.3 out of 5 stars,Hardcover,Barron's Educational Series; 1st American Edition edition,128 pages,"July 1, 2006",0764132601,978-0764132605
0804179050,Uprooted: A Novel,Naomi Novik,4.6 out of 5 stars,Kindle,Del Rey; Reprint edition,464 pages,"March 1, 2016",0804179050,978-0804179058
163291672X,"Slave, Warrior, Queen (of Crowns and Glory--Book 1)",Morgan Rice,3.6 out of 5 stars,Paperback,Morgan Rice,191 pages,"August 2, 2017",163291672X,978-1632916723
1598120174,Official Nintendo Power FINAL FANTASY V ADVANCE Player's Guide,Nintendo Power,4.2 out of 5 stars,Hardcover,Nintendo of America Inc.,128 pages,"October 30, 2006",1598120174,978-1598120172
1542640989,"A World of Fairies - A Fantasy Grayscale Coloring Book for Adults: Flower Fairies, and Celestial Fairies by Molly Harrison Fantasy Art",Molly Harrison,4.5 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; Clr Csm edition,56 pages,"January 18, 2017",1542640989,978-1542640985
0008239061,The Seven (The Vagrant Trilogy),Peter Newman,4.6 out of 5 stars,Kindle,HarperVoyager,464 pages,"October 3, 2017",0008239061,978-0008239060
0786424362,"Gaming As Culture: Essays on Reality, Identity And Experience in Fantasy Games",J. Patrick Williams,3.6 out of 5 stars,Kindle,McFarland; 1 edition,224 pages,"March 21, 2006",0786424362,978-0786424368
1440329583,"Mastering Fantasy Art - Drawing Dynamic Characters: People, Poses, Creatures and More",John Stanko,3.9 out of 5 stars,Paperback,IMPACT Books,144 pages,"June 13, 2014",1440329583,978-1440329586
1505264243,"Truth, Fantasy, and Paradox: The Fairy Tales of George MacDonald, G.K. Chesterton, and C.S. Lewis",Jennifer Overkamp,4.4 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform,346 pages,"December 4, 2014",1505264243,978-1505264241
1978058918,Strongholds of Sorcery: The Glain Campaign,Chris Gonnerman,4.2 out of 5 stars,Hardcover,CreateSpace Independent Publishing Platform; 1 edition,124 pages,"October 6, 2017",1978058918,978-1978058910
1556348223,Dungeon Fantasy Companion,Christopher R. Rice,4.5 out of 5 stars,Hardcover,"Steve Jackson Games, Incorporated; 1.1 edition",78 pages,"July 25, 2017",1556348223,978-1556348228
1544670486,Fantasy Writing Prompts: 77 Powerful Ideas To Inspire Your Fiction (Writer's Craft) (Volume 24),Rayne Hall,5.0 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform,190 pages,"March 17, 2017",1544670486,978-1544670485
1974558703,A Witchmas Carol: A Wicked Witches of the Midwest Fantasy (Volume 4),Amanda M. Lee,4.6 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,212 pages,"September 6, 2017",1974558703,978-1974558704
099788990X,Mage Slave (The Enslaved Chronicles) (Volume 1),R. K. Thorne,4.5 out of 5 stars,Hardcover,Iron Antler Books; 1 edition,462 pages,"July 29, 2016",099788990X,978-0997889901
0062315005,The Alchemist,Paulo Coelho,4.6 out of 5 stars,Paperback,HarperOne; Anniversary edition,208 pages,"April 15, 2014",0062315005,978-0062315007
0195169468,Fantasy Pieces: Metrical Dissonance in the Music of Robert Schumann,Harald Krebs,,Paperback,Oxford University Press; 1 edition,304 pages,"May 22, 2003",0195169468,978-0195169461
1532998503,COLORING BOOK Fantasy Mermaids & Fairies: Amazing coloring book for all ages.,Alena Lazareva,4.6 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; Clr edition,56 pages,"May 7, 2016",1532998503,978-1532998508
0787994499,Fantasy Basketball and Mathematics: Student Workbook,Dan Flockhart,5.0 out of 5 stars,Kindle,Jossey-Bass; 1 edition,216 pages,"March 19, 2007",0787994499,978-0787994495
0744010241,CRISIS CORE -FINAL FANTASY VII- Signature Series Guide (Bradygames Signature Series Guides),Joe Epstein,4.5 out of 5 stars,Paperback,BRADY GAMES,272 pages,"March 18, 2008",0744010241,978-0744010244
0521728738,The Cambridge Companion to Fantasy Literature (Cambridge Companions to Literature),Edward James,4.0 out of 5 stars,Kindle,Cambridge University Press; 1 edition,294 pages,"February 27, 2012",0521728738,978-0521728737
064802699X,Faedorables Minis - Pocket Sized Cute Fantasy Coloring Book (Fantasy Coloring by Selina) (Volume 16),Selina Fenech,5.0 out of 5 stars,Paperback,Fairies and Fantasy Pty Ltd,106 pages,"November 9, 2017",064802699X,978-0648026990
1896944094,"The Complete Guide to Writing Fantasy, Vol. 1: Alchemy with Words (The Compete Guide Series)",Tom Dullemond,3.8 out of 5 stars,Kindle,Dragon Moon Press; 1 edition,320 pages,"January 1, 2006",1896944094,978-1896944098
1581808208,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,4.6 out of 5 stars,Hardcover,North Light Books; 3 edition,128 pages,"November 20, 2006",1581808208,978-1581808209
