ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,label
10025,MARSHALL MEDICAL CENTER NORTH,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,shuffling
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36617,CRENSHAW,3343353374,shuffling
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,0,AL,35594,MARION,2054877736,np
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,shuffling
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,0,35960,CHEROKEE,2569275531,np
10046,RIVERVIEQ REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,misspellings
10024,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,shuffling
0,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,np
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,truth
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2568453150,shuffling
10034,COXMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,misspellings
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,SHELBY,2562495000,shuffling
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,0,MARION,2054877736,np
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,0,36330,COFFEE,3343470584,np
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,0,35903,ETOWAH,2564944000,np
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OBARK,AL,36360,DALE,3347742601,misspellings
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,PHAMBERS,3347561400,misspellings
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,truth
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,0,AL,36067,AUTAUGA,3343614267,np
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,0,MADISON,2562651000,np
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,BNNISTON,AL,36201,CALHOUN,2562358900,misspellings
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,0,np
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,VALLEY,AL,35960,CHEROKEE,2569275531,shuffling
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,0,35233,JEFFERSON,2059344011,np
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,shuffling
10164,COOSA VALLEY MEDICAL CENTER,0,SYLACAUGA,AL,35150,TALLADEGA,2562495000,np
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,truth
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,36323,CULLMAN,2567372000,shuffling
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,CULLMAN,AL,35957,MARSHALL,2565938310,shuffling
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,truth
10012,0,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,np
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,35233,COFFEE,3348972257,shuffling
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AW,35570,MARION,2059216200,misspellings
10005,MARSHALL MEDICAL CENTER SOUTH,0,BOAZ,AL,35957,MARSHALL,2565938310,np
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,truth
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,0,35660,JEFFERSON,2563864556,np
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,0,35968,DE KALB,2568453150,np
10108,PRATTVILLE BAPTIST HOSNITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,misspellings
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,0,COVINGTON,3342228466,np
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,truth
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,COVINGTON,3347493411,shuffling
10032,WEDOWEE HOWPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,misspellings
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,truth
10087,COOSA VALLEY MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,shuffling
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETKWAH,2565435200,misspellings
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0,np
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,0,2565435200,np
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AF,35640,MORGAN,2567736511,misspellings
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMQSVILLE,AL,36784,CLARKE,3346366221,misspellings
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,truth
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,0,AL,35901,ETOWAH,2565435200,np
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,truth
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,0,99559,BETHEL,9075436300,np
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,3344933541,shuffling
0,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,np
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GONDYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,misspellings
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2565435200,shuffling
10008,CRENSHAW COMMUNITY HOSPITAL,0,LUVERNE,AL,36049,CRENSHAW,3343353374,np
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMIN,2567372000,misspellings
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,shuffling
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,truth
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,BIRMINGHAM,AL,35660,JEFFERSON,2563864556,shuffling
10016,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,shuffling
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,truth
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,MALHOUN,2562358900,misspellings
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHNW,3343353374,misspellings
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0,np
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,shuffling
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,truth
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,RL,36305,HOUSTON,3347935000,misspellings
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,truth
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,VALLEY,AL,36201,CALHOUN,2562358900,shuffling
10056,ST VINCENTS HOSPITAL,810 ST VINCENTS DRIVE,ANCHORAGE,AL,35205,JEFFERSON,2059397000,shuffling
10047,GEORGIANA HOSPITAL,849 SOUTH THREE NOTCH STREET,GEORGIANA,AL,36033,BUTLER,3343762205,shuffling
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,0,2565718000,np
10045,FAYETTE MEDICAL CENTER,1653 TEGPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,misspellings
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,truth
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWPST,HARTSELLE,AL,35640,MORGAN,2567736511,misspellings
0,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,np
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,NADSDEN,AL,35903,ETOWAH,2564944000,misspellings
10046,RIVERVIEW RAGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,misspellings
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,0,2567688400,np
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,truth
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,0,AL,35121,BLOUNT,2052743000,np
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAX,TALLASSEE,AL,36078,ELMORE,3342836541,misspellings
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,IL,36360,DALE,3347742601,misspellings
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,truth
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,truth
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,truth
10040,GADSDEN REGIONAL MEDICAL CENVER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,misspellings
10033,UNIVERSITY OF XLABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,misspellings
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,COFFEE,2563572111,shuffling
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,truth
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2567736511,truth
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,SL,35901,ETOWAH,2565435200,misspellings
10046,0,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,np
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3347935000,shuffling
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETBWAH,2565435200,misspellings
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,truth
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,truth
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,3347493411,shuffling
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,truth
10010,MARSHALL MEDICAL CENTER NORTH,1530 U S HIGHWAY 43,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,shuffling
10023,BAPTIST MEDICAL CENTER SOUTH,0,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,np
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,truth
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,truth
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,truth
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,truth
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AZ,35150,TALLADEGA,2562495000,misspellings
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,truth
10029,COMMUNITY HOSPITAL INC,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,shuffling
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AZ,35233,JEFFERSON,2059344011,misspellings
10039,HUNTSVILLE HOSPITAL,0,HUNTSVILLE,AL,35801,MADISON,2562651000,np
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,0,3343762205,np
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,0,COFFEE,3343470584,np
0,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,np
